Type,Group,Amount,Fish,Taxa
"Proline,",Amino acids,0.652,Sea bass,Miscellaneous marine fish
"Serine,",Amino acids,0.752,Sea bass,Miscellaneous marine fish
Total amino acids,Amino acids,17.78,Sea bass,Miscellaneous marine fish
Saturated,Lipids,0.511,Sea bass,Miscellaneous marine fish
Monounsaturated,Lipids,0.424,Sea bass,Miscellaneous marine fish
Polyunsaturated,Lipids,0.743,Sea bass,Miscellaneous marine fish
"(EPA),",Lipids,161,Sea bass,Miscellaneous marine fish
"(DHA),",Lipids,434,Sea bass,Miscellaneous marine fish
Cholesterol,Lipids,41,Sea bass,Miscellaneous marine fish
Calcium,Minerals,10,Sea bass,Miscellaneous marine fish
Iron,Minerals,0.29,Sea bass,Miscellaneous marine fish
Magnesium,Minerals,32,Sea bass,Miscellaneous marine fish
Phosphorus,Minerals,194,Sea bass,Miscellaneous marine fish
Potassium,Minerals,256,Sea bass,Miscellaneous marine fish
Sodium,Minerals,68,Sea bass,Miscellaneous marine fish
Zinc,Minerals,0.4,Sea bass,Miscellaneous marine fish
Copper,Minerals,0.02,Sea bass,Miscellaneous marine fish
Manganese,Minerals,0.02,Sea bass,Miscellaneous marine fish
Selenium,Minerals,36.5,Sea bass,Miscellaneous marine fish
Vitamins,Minerals,,Sea bass,Miscellaneous marine fish
Vitamin C,Minerals,0,Sea bass,Miscellaneous marine fish
"Thiamin,",Minerals,0.11,Sea bass,Miscellaneous marine fish
"Riboflavin,",Minerals,0.12,Sea bass,Miscellaneous marine fish
"Niacin,",Minerals,1.6,Sea bass,Miscellaneous marine fish
Pantothenic,Minerals,0.75,Sea bass,Miscellaneous marine fish
Vitamin B6,Minerals,0.4,Sea bass,Miscellaneous marine fish
"Folate,",Minerals,5,Sea bass,Miscellaneous marine fish
"Choline,",Minerals,60.8,Sea bass,Miscellaneous marine fish
Vitamin B12,Minerals,0.3,Sea bass,Miscellaneous marine fish
Vitamin A,Minerals,154,Sea bass,Miscellaneous marine fish
Vitamin E,Minerals,0.84,Sea bass,Miscellaneous marine fish
Vitamin D,Minerals,226,Sea bass,Miscellaneous marine fish
Vitamin K,Minerals,0.1,Sea bass,Miscellaneous marine fish
"Water,",Water,76.87,Snappers,Miscellaneous marine fish
"Energy,",Energy,100,Snappers,Miscellaneous marine fish
Protein (N x 6.25),Protein,20.51,Snappers,Miscellaneous marine fish
Total lipid (fat),Fat,1.34,Snappers,Miscellaneous marine fish
"Tryptophan,",Amino acids,0.23,Snappers,Miscellaneous marine fish
"Threonine,",Amino acids,0.899,Snappers,Miscellaneous marine fish
"Isoleucine,",Amino acids,0.945,Snappers,Miscellaneous marine fish
"Leucine,",Amino acids,1.667,Snappers,Miscellaneous marine fish
"Lysine,",Amino acids,1.883,Snappers,Miscellaneous marine fish
"Methionine,",Amino acids,0.607,Snappers,Miscellaneous marine fish
"Cystine,",Amino acids,0.22,Snappers,Miscellaneous marine fish
"Phenylalanine,",Amino acids,0.801,Snappers,Miscellaneous marine fish
"Tyrosine,",Amino acids,0.692,Snappers,Miscellaneous marine fish
"Valine,",Amino acids,1.056,Snappers,Miscellaneous marine fish
"Arginine,",Amino acids,1.227,Snappers,Miscellaneous marine fish
"Histidine,",Amino acids,0.604,Snappers,Miscellaneous marine fish
"Alanine,",Amino acids,1.24,Snappers,Miscellaneous marine fish
Aspartic,Amino acids,2.1,Snappers,Miscellaneous marine fish
Glutamic,Amino acids,3.061,Snappers,Miscellaneous marine fish
"Glycine,",Amino acids,0.984,Snappers,Miscellaneous marine fish
"Proline,",Amino acids,0.725,Snappers,Miscellaneous marine fish
"Serine,",Amino acids,0.837,Snappers,Miscellaneous marine fish
Total amino acids,Amino acids,19.78,Snappers,Miscellaneous marine fish
Saturated,Lipids,0.285,Snappers,Miscellaneous marine fish
Monounsaturated,Lipids,0.251,Snappers,Miscellaneous marine fish
Polyunsaturated,Lipids,0.459,Snappers,Miscellaneous marine fish
"(EPA),",Lipids,51,Snappers,Miscellaneous marine fish
"(DHA),",Lipids,260,Snappers,Miscellaneous marine fish
Cholesterol,Lipids,37,Snappers,Miscellaneous marine fish
Calcium,Minerals,32,Snappers,Miscellaneous marine fish
Iron,Minerals,0.18,Snappers,Miscellaneous marine fish
Magnesium,Minerals,,Snappers,Miscellaneous marine fish
Phosphorus,Minerals,198,Snappers,Miscellaneous marine fish
Potassium,Minerals,417,Snappers,Miscellaneous marine fish
Sodium,Minerals,64,Snappers,Miscellaneous marine fish
Zinc,Minerals,0.36,Snappers,Miscellaneous marine fish
Copper,Minerals,0.03,Snappers,Miscellaneous marine fish
Manganese,Minerals,0.01,Snappers,Miscellaneous marine fish
Selenium,Minerals,38.2,Snappers,Miscellaneous marine fish
Vitamins,Minerals,,Snappers,Miscellaneous marine fish
Vitamin C,Minerals,1.6,Snappers,Miscellaneous marine fish
"Thiamin,",Minerals,0.05,Snappers,Miscellaneous marine fish
"Riboflavin,",Minerals,0,Snappers,Miscellaneous marine fish
"Niacin,",Minerals,0.28,Snappers,Miscellaneous marine fish
Pantothenic,Minerals,0.75,Snappers,Miscellaneous marine fish
Vitamin B6,Minerals,0.4,Snappers,Miscellaneous marine fish
"Folate,",Minerals,5,Snappers,Miscellaneous marine fish
"Choline,",Minerals,65,Snappers,Miscellaneous marine fish
Vitamin B12,Minerals,3,Snappers,Miscellaneous marine fish
Vitamin A,Minerals,106,Snappers,Miscellaneous marine fish
Vitamin E,Minerals,0.96,Snappers,Miscellaneous marine fish
Vitamin D,Minerals,408,Snappers,Miscellaneous marine fish
Vitamin K,Minerals,0.1,Snappers,Miscellaneous marine fish
"Water,",Water,68.5,Atlantic salmon (wild),Salmonids
"Energy,",Energy,142,Atlantic salmon (wild),Salmonids
Protein (N x 6.25),Protein,19.84,Atlantic salmon (wild),Salmonids
Total lipid (fat),Fat,6.34,Atlantic salmon (wild),Salmonids
"Tryptophan,",Amino acids,0.222,Atlantic salmon (wild),Salmonids
"Threonine,",Amino acids,0.87,Atlantic salmon (wild),Salmonids
"Isoleucine,",Amino acids,0.914,Atlantic salmon (wild),Salmonids
"Leucine,",Amino acids,1.613,Atlantic salmon (wild),Salmonids
"Lysine,",Amino acids,1.822,Atlantic salmon (wild),Salmonids
"Methionine,",Amino acids,0.587,Atlantic salmon (wild),Salmonids
"Cystine,",Amino acids,0.213,Atlantic salmon (wild),Salmonids
"Phenylalanine,",Amino acids,0.775,Atlantic salmon (wild),Salmonids
"Tyrosine,",Amino acids,0.67,Atlantic salmon (wild),Salmonids
"Valine,",Amino acids,1.022,Atlantic salmon (wild),Salmonids
"Arginine,",Amino acids,1.187,Atlantic salmon (wild),Salmonids
"Histidine,",Amino acids,0.584,Atlantic salmon (wild),Salmonids
"Alanine,",Amino acids,1.2,Atlantic salmon (wild),Salmonids
Aspartic,Amino acids,2.032,Atlantic salmon (wild),Salmonids
Glutamic,Amino acids,2.962,Atlantic salmon (wild),Salmonids
"Glycine,",Amino acids,0.952,Atlantic salmon (wild),Salmonids
"Proline,",Amino acids,0.702,Atlantic salmon (wild),Salmonids
"Serine,",Amino acids,0.809,Atlantic salmon (wild),Salmonids
Total amino acids,Amino acids,19.14,Atlantic salmon (wild),Salmonids
Saturated,Lipids,0.981,Atlantic salmon (wild),Salmonids
Monounsaturated,Lipids,2.103,Atlantic salmon (wild),Salmonids
Polyunsaturated,Lipids,2.539,Atlantic salmon (wild),Salmonids
"(EPA),",Lipids,321,Atlantic salmon (wild),Salmonids
"(DHA),",Lipids,1115,Atlantic salmon (wild),Salmonids
Cholesterol,Lipids,55,Atlantic salmon (wild),Salmonids
Calcium,Minerals,12,Atlantic salmon (wild),Salmonids
Iron,Minerals,0.8,Atlantic salmon (wild),Salmonids
Magnesium,Minerals,29,Atlantic salmon (wild),Salmonids
Phosphorus,Minerals,200,Atlantic salmon (wild),Salmonids
Potassium,Minerals,490,Atlantic salmon (wild),Salmonids
Sodium,Minerals,44,Atlantic salmon (wild),Salmonids
Zinc,Minerals,0.64,Atlantic salmon (wild),Salmonids
Copper,Minerals,0.25,Atlantic salmon (wild),Salmonids
Manganese,Minerals,0.02,Atlantic salmon (wild),Salmonids
Selenium,Minerals,36.5,Atlantic salmon (wild),Salmonids
Vitamins,Minerals,,Atlantic salmon (wild),Salmonids
Vitamin C,Minerals,0,Atlantic salmon (wild),Salmonids
"Thiamin,",Minerals,0.23,Atlantic salmon (wild),Salmonids
"Riboflavin,",Minerals,0.38,Atlantic salmon (wild),Salmonids
"Niacin,",Minerals,7.86,Atlantic salmon (wild),Salmonids
Pantothenic,Minerals,1.66,Atlantic salmon (wild),Salmonids
Vitamin B6,Minerals,0.82,Atlantic salmon (wild),Salmonids
"Folate,",Minerals,25,Atlantic salmon (wild),Salmonids
"Choline,",Minerals,NA,Atlantic salmon (wild),Salmonids
Vitamin B12,Minerals,3.18,Atlantic salmon (wild),Salmonids
Vitamin A,Minerals,40,Atlantic salmon (wild),Salmonids
Vitamin E,Minerals,NA,Atlantic salmon (wild),Salmonids
Vitamin D,Minerals,NA,Atlantic salmon (wild),Salmonids
Vitamin K,Minerals,NA,Atlantic salmon (wild),Salmonids
"Water,",Water,64.89,Atlantic salmon (farm),Salmonids
"Energy,",Energy,208,Atlantic salmon (farm),Salmonids
Protein (N x 6.25),Protein,20.42,Atlantic salmon (farm),Salmonids
Total lipid (fat),Fat,13.42,Atlantic salmon (farm),Salmonids
"Tryptophan,",Amino acids,0.209,Atlantic salmon (farm),Salmonids
"Threonine,",Amino acids,0.86,Atlantic salmon (farm),Salmonids
"Isoleucine,",Amino acids,0.968,Atlantic salmon (farm),Salmonids
"Leucine,",Amino acids,1.615,Atlantic salmon (farm),Salmonids
"Lysine,",Amino acids,1.87,Atlantic salmon (farm),Salmonids
"Methionine,",Amino acids,0.626,Atlantic salmon (farm),Salmonids
"Cystine,",Amino acids,0.219,Atlantic salmon (farm),Salmonids
"Phenylalanine,",Amino acids,0.845,Atlantic salmon (farm),Salmonids
"Tyrosine,",Amino acids,0.759,Atlantic salmon (farm),Salmonids
"Valine,",Amino acids,1.107,Atlantic salmon (farm),Salmonids
"Arginine,",Amino acids,1.221,Atlantic salmon (farm),Salmonids
"Histidine,",Amino acids,0.549,Atlantic salmon (farm),Salmonids
"Alanine,",Amino acids,1.271,Atlantic salmon (farm),Salmonids
Aspartic,Amino acids,2.025,Atlantic salmon (farm),Salmonids
Glutamic,Amino acids,2.83,Atlantic salmon (farm),Salmonids
"Glycine,",Amino acids,0.96,Atlantic salmon (farm),Salmonids
"Proline,",Amino acids,0.721,Atlantic salmon (farm),Salmonids
"Serine,",Amino acids,0.896,Atlantic salmon (farm),Salmonids
Total amino acids,Amino acids,19.55,Atlantic salmon (farm),Salmonids
Saturated,Lipids,3.05,Atlantic salmon (farm),Salmonids
Monounsaturated,Lipids,3.77,Atlantic salmon (farm),Salmonids
Polyunsaturated,Lipids,3.886,Atlantic salmon (farm),Salmonids
"(EPA),",Lipids,862,Atlantic salmon (farm),Salmonids
"(DHA),",Lipids,1104,Atlantic salmon (farm),Salmonids
Cholesterol,Lipids,55,Atlantic salmon (farm),Salmonids
Calcium,Minerals,9,Atlantic salmon (farm),Salmonids
Iron,Minerals,0.34,Atlantic salmon (farm),Salmonids
Magnesium,Minerals,27,Atlantic salmon (farm),Salmonids
Phosphorus,Minerals,240,Atlantic salmon (farm),Salmonids
Potassium,Minerals,363,Atlantic salmon (farm),Salmonids
Sodium,Minerals,59,Atlantic salmon (farm),Salmonids
Zinc,Minerals,0.36,Atlantic salmon (farm),Salmonids
Copper,Minerals,0.05,Atlantic salmon (farm),Salmonids
Manganese,Minerals,0.01,Atlantic salmon (farm),Salmonids
Selenium,Minerals,24,Atlantic salmon (farm),Salmonids
Vitamins,Minerals,,Atlantic salmon (farm),Salmonids
Vitamin C,Minerals,0,Atlantic salmon (farm),Salmonids
"Thiamin,",Minerals,0.21,Atlantic salmon (farm),Salmonids
"Riboflavin,",Minerals,0.16,Atlantic salmon (farm),Salmonids
"Niacin,",Minerals,8.67,Atlantic salmon (farm),Salmonids
Pantothenic,Minerals,1.55,Atlantic salmon (farm),Salmonids
Vitamin B6,Minerals,0.64,Atlantic salmon (farm),Salmonids
"Folate,",Minerals,26,Atlantic salmon (farm),Salmonids
"Choline,",Minerals,78.5,Atlantic salmon (farm),Salmonids
Vitamin B12,Minerals,3.23,Atlantic salmon (farm),Salmonids
Vitamin A,Minerals,50,Atlantic salmon (farm),Salmonids
Vitamin E,Minerals,3.55,Atlantic salmon (farm),Salmonids
Vitamin D,Minerals,NA,Atlantic salmon (farm),Salmonids
Vitamin K,Minerals,0.5,Atlantic salmon (farm),Salmonids
"Water,",Water,71.64,Chinook salmon,Salmonids
"Energy,",Energy,179,Chinook salmon,Salmonids
Protein (N x 6.25),Protein,19.93,Chinook salmon,Salmonids
Total lipid (fat),Fat,10.43,Chinook salmon,Salmonids
"Tryptophan,",Amino acids,0.225,Chinook salmon,Salmonids
"Threonine,",Amino acids,0.879,Chinook salmon,Salmonids
"Isoleucine,",Amino acids,0.924,Chinook salmon,Salmonids
"Leucine,",Amino acids,1.63,Chinook salmon,Salmonids
"Lysine,",Amino acids,1.842,Chinook salmon,Salmonids
"Methionine,",Amino acids,0.594,Chinook salmon,Salmonids
"Cystine,",Amino acids,0.215,Chinook salmon,Salmonids
"Phenylalanine,",Amino acids,0.783,Chinook salmon,Salmonids
"Tyrosine,",Amino acids,0.677,Chinook salmon,Salmonids
"Valine,",Amino acids,1.033,Chinook salmon,Salmonids
"Arginine,",Amino acids,1.2,Chinook salmon,Salmonids
"Histidine,",Amino acids,0.59,Chinook salmon,Salmonids
"Alanine,",Amino acids,1.213,Chinook salmon,Salmonids
Aspartic,Amino acids,2.054,Chinook salmon,Salmonids
Glutamic,Amino acids,2.994,Chinook salmon,Salmonids
"Glycine,",Amino acids,0.963,Chinook salmon,Salmonids
"Proline,",Amino acids,0.709,Chinook salmon,Salmonids
"Serine,",Amino acids,0.818,Chinook salmon,Salmonids
Total amino acids,Amino acids,19.34,Chinook salmon,Salmonids
Saturated,Lipids,3.1,Chinook salmon,Salmonids
Monounsaturated,Lipids,4.399,Chinook salmon,Salmonids
Polyunsaturated,Lipids,2.799,Chinook salmon,Salmonids
"(EPA),",Lipids,1008,Chinook salmon,Salmonids
"(DHA),",Lipids,944,Chinook salmon,Salmonids
Cholesterol,Lipids,50,Chinook salmon,Salmonids
Calcium,Minerals,26,Chinook salmon,Salmonids
Iron,Minerals,0.25,Chinook salmon,Salmonids
Magnesium,Minerals,95,Chinook salmon,Salmonids
Phosphorus,Minerals,289,Chinook salmon,Salmonids
Potassium,Minerals,394,Chinook salmon,Salmonids
Sodium,Minerals,47,Chinook salmon,Salmonids
Zinc,Minerals,0.44,Chinook salmon,Salmonids
Copper,Minerals,0.04,Chinook salmon,Salmonids
Manganese,Minerals,0.02,Chinook salmon,Salmonids
Selenium,Minerals,36.5,Chinook salmon,Salmonids
Vitamins,Minerals,,Chinook salmon,Salmonids
Vitamin C,Minerals,3.9,Chinook salmon,Salmonids
"Thiamin,",Minerals,0.05,Chinook salmon,Salmonids
"Riboflavin,",Minerals,0.11,Chinook salmon,Salmonids
"Niacin,",Minerals,8.42,Chinook salmon,Salmonids
Pantothenic,Minerals,0.75,Chinook salmon,Salmonids
Vitamin B6,Minerals,0.4,Chinook salmon,Salmonids
"Folate,",Minerals,30,Chinook salmon,Salmonids
"Choline,",Minerals,NA,Chinook salmon,Salmonids
Vitamin B12,Minerals,1.3,Chinook salmon,Salmonids
Vitamin A,Minerals,453,Chinook salmon,Salmonids
Vitamin E,Minerals,1.22,Chinook salmon,Salmonids
Vitamin D,Minerals,NA,Chinook salmon,Salmonids
Vitamin K,Minerals,NA,Chinook salmon,Salmonids
"Water,",Water,70.47,Coho salmon (farm),Salmonids
"Energy,",Energy,160,Coho salmon (farm),Salmonids
Protein (N x 6.25),Protein,21.27,Coho salmon (farm),Salmonids
Total lipid (fat),Fat,7.67,Coho salmon (farm),Salmonids
"Tryptophan,",Amino acids,0.238,Coho salmon (farm),Salmonids
"Threonine,",Amino acids,0.932,Coho salmon (farm),Salmonids
"Isoleucine,",Amino acids,0.98,Coho salmon (farm),Salmonids
"Leucine,",Amino acids,1.729,Coho salmon (farm),Salmonids
"Lysine,",Amino acids,1.953,Coho salmon (farm),Salmonids
"Methionine,",Amino acids,0.629,Coho salmon (farm),Salmonids
"Cystine,",Amino acids,0.228,Coho salmon (farm),Salmonids
"Phenylalanine,",Amino acids,0.83,Coho salmon (farm),Salmonids
"Tyrosine,",Amino acids,0.718,Coho salmon (farm),Salmonids
"Valine,",Amino acids,1.096,Coho salmon (farm),Salmonids
"Arginine,",Amino acids,1.273,Coho salmon (farm),Salmonids
"Histidine,",Amino acids,0.626,Coho salmon (farm),Salmonids
"Alanine,",Amino acids,1.286,Coho salmon (farm),Salmonids
Aspartic,Amino acids,2.178,Coho salmon (farm),Salmonids
Glutamic,Amino acids,3.175,Coho salmon (farm),Salmonids
"Glycine,",Amino acids,1.021,Coho salmon (farm),Salmonids
"Proline,",Amino acids,0.752,Coho salmon (farm),Salmonids
"Serine,",Amino acids,0.868,Coho salmon (farm),Salmonids
Total amino acids,Amino acids,20.51,Coho salmon (farm),Salmonids
Saturated,Lipids,1.816,Coho salmon (farm),Salmonids
Monounsaturated,Lipids,3.33,Coho salmon (farm),Salmonids
Polyunsaturated,Lipids,1.861,Coho salmon (farm),Salmonids
"(EPA),",Lipids,385,Coho salmon (farm),Salmonids
"(DHA),",Lipids,821,Coho salmon (farm),Salmonids
Cholesterol,Lipids,51,Coho salmon (farm),Salmonids
Calcium,Minerals,12,Coho salmon (farm),Salmonids
Iron,Minerals,0.34,Coho salmon (farm),Salmonids
Magnesium,Minerals,31,Coho salmon (farm),Salmonids
Phosphorus,Minerals,292,Coho salmon (farm),Salmonids
Potassium,Minerals,450,Coho salmon (farm),Salmonids
Sodium,Minerals,47,Coho salmon (farm),Salmonids
Zinc,Minerals,0.43,Coho salmon (farm),Salmonids
Copper,Minerals,0.05,Coho salmon (farm),Salmonids
Manganese,Minerals,0.01,Coho salmon (farm),Salmonids
Selenium,Minerals,12.6,Coho salmon (farm),Salmonids
Vitamins,Minerals,,Coho salmon (farm),Salmonids
Vitamin C,Minerals,4,Coho salmon (farm),Salmonids
"Thiamin,",Minerals,0.09,Coho salmon (farm),Salmonids
"Riboflavin,",Minerals,0.11,Coho salmon (farm),Salmonids
"Niacin,",Minerals,6.81,Coho salmon (farm),Salmonids
Pantothenic,Minerals,1.14,Coho salmon (farm),Salmonids
Vitamin B6,Minerals,0.66,Coho salmon (farm),Salmonids
"Folate,",Minerals,13,Coho salmon (farm),Salmonids
"Choline,",Minerals,NA,Coho salmon (farm),Salmonids
Vitamin B12,Minerals,2.67,Coho salmon (farm),Salmonids
Vitamin A,Minerals,188,Coho salmon (farm),Salmonids
Vitamin E,Minerals,NA,Coho salmon (farm),Salmonids
Vitamin D,Minerals,NA,Coho salmon (farm),Salmonids
Vitamin K,Minerals,NA,Coho salmon (farm),Salmonids
"Water,",Water,72.66,Coho salmon (wild),Salmonids
"Energy,",Energy,146,Coho salmon (wild),Salmonids
Protein (N x 6.25),Protein,21.62,Coho salmon (wild),Salmonids
Total lipid (fat),Fat,5.93,Coho salmon (wild),Salmonids
"Tryptophan,",Amino acids,0.242,Coho salmon (wild),Salmonids
"Threonine,",Amino acids,0.948,Coho salmon (wild),Salmonids
"Isoleucine,",Amino acids,0.996,Coho salmon (wild),Salmonids
"Leucine,",Amino acids,1.757,Coho salmon (wild),Salmonids
"Lysine,",Amino acids,1.985,Coho salmon (wild),Salmonids
"Methionine,",Amino acids,0.64,Coho salmon (wild),Salmonids
"Cystine,",Amino acids,0.232,Coho salmon (wild),Salmonids
"Phenylalanine,",Amino acids,0.844,Coho salmon (wild),Salmonids
"Tyrosine,",Amino acids,0.73,Coho salmon (wild),Salmonids
"Valine,",Amino acids,1.114,Coho salmon (wild),Salmonids
"Arginine,",Amino acids,1.294,Coho salmon (wild),Salmonids
"Histidine,",Amino acids,0.636,Coho salmon (wild),Salmonids
"Alanine,",Amino acids,1.307,Coho salmon (wild),Salmonids
Aspartic,Amino acids,2.214,Coho salmon (wild),Salmonids
Glutamic,Amino acids,3.227,Coho salmon (wild),Salmonids
"Glycine,",Amino acids,1.038,Coho salmon (wild),Salmonids
"Proline,",Amino acids,0.764,Coho salmon (wild),Salmonids
"Serine,",Amino acids,0.882,Coho salmon (wild),Salmonids
Total amino acids,Amino acids,20.85,Coho salmon (wild),Salmonids
Saturated,Lipids,1.26,Coho salmon (wild),Salmonids
Monounsaturated,Lipids,2.134,Coho salmon (wild),Salmonids
Polyunsaturated,Lipids,1.992,Coho salmon (wild),Salmonids
"(EPA),",Lipids,429,Coho salmon (wild),Salmonids
"(DHA),",Lipids,656,Coho salmon (wild),Salmonids
Cholesterol,Lipids,45,Coho salmon (wild),Salmonids
Calcium,Minerals,36,Coho salmon (wild),Salmonids
Iron,Minerals,0.56,Coho salmon (wild),Salmonids
Magnesium,Minerals,31,Coho salmon (wild),Salmonids
Phosphorus,Minerals,262,Coho salmon (wild),Salmonids
Potassium,Minerals,423,Coho salmon (wild),Salmonids
Sodium,Minerals,46,Coho salmon (wild),Salmonids
Zinc,Minerals,0.41,Coho salmon (wild),Salmonids
Copper,Minerals,0.05,Coho salmon (wild),Salmonids
Manganese,Minerals,0.01,Coho salmon (wild),Salmonids
Selenium,Minerals,36.5,Coho salmon (wild),Salmonids
Vitamins,Minerals,,Coho salmon (wild),Salmonids
Vitamin C,Minerals,1.1,Coho salmon (wild),Salmonids
"Thiamin,",Minerals,0.11,Coho salmon (wild),Salmonids
"Riboflavin,",Minerals,0.14,Coho salmon (wild),Salmonids
"Niacin,",Minerals,7.23,Coho salmon (wild),Salmonids
Pantothenic,Minerals,0.82,Coho salmon (wild),Salmonids
Vitamin B6,Minerals,0.55,Coho salmon (wild),Salmonids
"Folate,",Minerals,9,Coho salmon (wild),Salmonids
"Choline,",Minerals,109.4,Coho salmon (wild),Salmonids
Vitamin B12,Minerals,4.17,Coho salmon (wild),Salmonids
Vitamin A,Minerals,135,Coho salmon (wild),Salmonids
Vitamin E,Minerals,0.73,Coho salmon (wild),Salmonids
Vitamin D,Minerals,361,Coho salmon (wild),Salmonids
Vitamin K,Minerals,0.1,Coho salmon (wild),Salmonids
"Water,",Water,73.15,Sockeye salmon,Salmonids
"Energy,",Energy,142,Sockeye salmon,Salmonids
Protein (N x 6.25),Protein,21.31,Sockeye salmon,Salmonids
Total lipid (fat),Fat,5.61,Sockeye salmon,Salmonids
"Tryptophan,",Amino acids,0.27,Sockeye salmon,Salmonids
"Threonine,",Amino acids,1.004,Sockeye salmon,Salmonids
"Isoleucine,",Amino acids,1.025,Sockeye salmon,Salmonids
"Leucine,",Amino acids,1.759,Sockeye salmon,Salmonids
"Lysine,",Amino acids,2.072,Sockeye salmon,Salmonids
"Methionine,",Amino acids,0.691,Sockeye salmon,Salmonids
"Cystine,",Amino acids,0.237,Sockeye salmon,Salmonids
"Phenylalanine,",Amino acids,0.874,Sockeye salmon,Salmonids
"Tyrosine,",Amino acids,0.971,Sockeye salmon,Salmonids
"Valine,",Amino acids,1.176,Sockeye salmon,Salmonids
"Arginine,",Amino acids,1.381,Sockeye salmon,Salmonids
"Histidine,",Amino acids,0.572,Sockeye salmon,Salmonids
"Alanine,",Amino acids,1.327,Sockeye salmon,Salmonids
Aspartic,Amino acids,2.18,Sockeye salmon,Salmonids
Glutamic,Amino acids,3.14,Sockeye salmon,Salmonids
"Glycine,",Amino acids,1.025,Sockeye salmon,Salmonids
"Proline,",Amino acids,0.788,Sockeye salmon,Salmonids
"Serine,",Amino acids,0.853,Sockeye salmon,Salmonids
Total amino acids,Amino acids,21.35,Sockeye salmon,Salmonids
Saturated,Lipids,1.182,Sockeye salmon,Salmonids
Monounsaturated,Lipids,1.863,Sockeye salmon,Salmonids
Polyunsaturated,Lipids,1.945,Sockeye salmon,Salmonids
"(EPA),",Lipids,348,Sockeye salmon,Salmonids
"(DHA),",Lipids,681,Sockeye salmon,Salmonids
Cholesterol,Lipids,53,Sockeye salmon,Salmonids
Calcium,Minerals,10,Sockeye salmon,Salmonids
Iron,Minerals,0.42,Sockeye salmon,Salmonids
Magnesium,Minerals,30,Sockeye salmon,Salmonids
Phosphorus,Minerals,266,Sockeye salmon,Salmonids
Potassium,Minerals,343,Sockeye salmon,Salmonids
Sodium,Minerals,112,Sockeye salmon,Salmonids
Zinc,Minerals,0.42,Sockeye salmon,Salmonids
Copper,Minerals,0.06,Sockeye salmon,Salmonids
Manganese,Minerals,0.01,Sockeye salmon,Salmonids
Selenium,Minerals,30.6,Sockeye salmon,Salmonids
Vitamins,Minerals,,Sockeye salmon,Salmonids
Vitamin C,Minerals,1,Sockeye salmon,Salmonids
"Thiamin,",Minerals,0.18,Sockeye salmon,Salmonids
"Riboflavin,",Minerals,0.12,Sockeye salmon,Salmonids
"Niacin,",Minerals,8.14,Sockeye salmon,Salmonids
Pantothenic,Minerals,1.15,Sockeye salmon,Salmonids
Vitamin B6,Minerals,0.61,Sockeye salmon,Salmonids
"Folate,",Minerals,8,Sockeye salmon,Salmonids
"Choline,",Minerals,94.6,Sockeye salmon,Salmonids
Vitamin B12,Minerals,5.95,Sockeye salmon,Salmonids
Vitamin A,Minerals,193,Sockeye salmon,Salmonids
Vitamin E,Minerals,0.95,Sockeye salmon,Salmonids
Vitamin D,Minerals,441,Sockeye salmon,Salmonids
Vitamin K,Minerals,0.1,Sockeye salmon,Salmonids
"Water,",Water,75.52,Pink salmon,Salmonids
"Energy,",Energy,127,Pink salmon,Salmonids
Protein (N x 6.25),Protein,20.5,Pink salmon,Salmonids
Total lipid (fat),Fat,4.4,Pink salmon,Salmonids
"Tryptophan,",Amino acids,0.221,Pink salmon,Salmonids
"Threonine,",Amino acids,1.066,Pink salmon,Salmonids
"Isoleucine,",Amino acids,0.954,Pink salmon,Salmonids
"Leucine,",Amino acids,1.562,Pink salmon,Salmonids
"Lysine,",Amino acids,1.759,Pink salmon,Salmonids
"Methionine,",Amino acids,0.577,Pink salmon,Salmonids
"Cystine,",Amino acids,0.159,Pink salmon,Salmonids
"Phenylalanine,",Amino acids,0.845,Pink salmon,Salmonids
"Tyrosine,",Amino acids,0.742,Pink salmon,Salmonids
"Valine,",Amino acids,1.1,Pink salmon,Salmonids
"Arginine,",Amino acids,1.287,Pink salmon,Salmonids
"Histidine,",Amino acids,0.543,Pink salmon,Salmonids
"Alanine,",Amino acids,1.308,Pink salmon,Salmonids
Aspartic,Amino acids,2.575,Pink salmon,Salmonids
Glutamic,Amino acids,2.903,Pink salmon,Salmonids
"Glycine,",Amino acids,1.263,Pink salmon,Salmonids
"Proline,",Amino acids,0.867,Pink salmon,Salmonids
"Serine,",Amino acids,0.905,Pink salmon,Salmonids
Total amino acids,Amino acids,20.64,Pink salmon,Salmonids
Saturated,Lipids,0.81,Pink salmon,Salmonids
Monounsaturated,Lipids,1.348,Pink salmon,Salmonids
Polyunsaturated,Lipids,0.811,Pink salmon,Salmonids
"(EPA),",Lipids,182,Pink salmon,Salmonids
"(DHA),",Lipids,333,Pink salmon,Salmonids
Cholesterol,Lipids,46,Pink salmon,Salmonids
Calcium,Minerals,7,Pink salmon,Salmonids
Iron,Minerals,0.38,Pink salmon,Salmonids
Magnesium,Minerals,27,Pink salmon,Salmonids
Phosphorus,Minerals,261,Pink salmon,Salmonids
Potassium,Minerals,366,Pink salmon,Salmonids
Sodium,Minerals,75,Pink salmon,Salmonids
Zinc,Minerals,0.39,Pink salmon,Salmonids
Copper,Minerals,0.06,Pink salmon,Salmonids
Manganese,Minerals,0.01,Pink salmon,Salmonids
